Dates,PDOT,RR,RS,Y,g,p_pdot1,p_pdot2,p_pdot3,p_rs1,p_y1,p_y2,p_y3
Comments,Inflation,Real Interest Rate,Monetary Policy Rate,Output Gap,,,,,,,,
2025,0.0,0.0,0.0,0.0,0.049,0.414,0.196,0.276,3,0.304,0.098,0.315
2026,0.009687886720593057,0.04012881029304178,0.04513103675306108,0.016067376591281907,,,,,,,,
2027,0.012082672608742268,0.019512499181729603,0.026579700147858838,-0.009668317678367963,,,,,,,,
2028,0.0033577278933857525,-0.005487592957061701,0.001525361973480618,-0.00854782170667664,,,,,,,,
2029,-0.00016302226613683512,-0.003020005578343428,-0.001063052269088112,-0.0005739854706776066,,,,,,,,
2030,-2.578559485201717e-05,0.0006471255308184595,0.0006360350875159269,0.0007133918720719784,,,,,,,,
2031,0.0002039628131730742,0.00055792429011424,0.0005702384459900936,-4.164999352912888e-05,,,,,,,,
2032,6.624278854863715e-05,-9.327506504965618e-05,1.9461572601936934e-05,-0.00017926679304397448,,,,,,,,
2033,-1.6390267796686916e-05,-0.00010035281883313677,-6.445168673913988e-05,-1.5280883349079145e-05,,,,,,,,
2034,-7.046236704117086e-06,1.2482014100210762e-05,4.603801900146115e-06,2.5742512012497374e-05,,,,,,,,
2035,4.170252968101178e-06,1.799690253736938e-05,1.4640951665874147e-05,2.1301927615706108e-06,,,,,,,,
2036,1.8674971911047843e-06,-1.5060766694913243e-06,7.286413871706138e-07,-4.873850186143739e-06,,,,,,,,
2037,-5.049521319936054e-07,-3.18616212725918e-06,-2.209848813207346e-06,-6.949924172265298e-07,,,,,,,,
2038,-2.8512086940958916e-07,1.6613923342053283e-07,-7.928087785420316e-08,7.760817303745643e-07,,,,,,,,
